RELEASE_DATE,ALLOC_NO,STATUS,ORDER_NO,FECHA_CREATION_DATE_ORDEN,FECHA_DE_VIGENCIA_OC,STATUS_ORDEN,ITEM,WH,TO_LOC,QTY_ALLOCATED,QTY_TRANSFERRED,QTY_RECEIVED,CTD_PENDIENTE,papalEspacial
13/04/2026,1007165065,A,3313271,13/04/2026 08:57,27/04/2026,C,33349,19101,28,30,30,30,0,Opalina Carta
13/04/2026,1007165078,A,3313271,13/04/2026 08:57,27/04/2026,C,49627,19101,28,1,1,1,0,Krome Carta
13/04/2026,1007165081,A,3313271,13/04/2026 08:57,27/04/2026,C,54692,19101,28,30,30,30,0,Cougar Carta
13/04/2026,1007165069,A,3313271,13/04/2026 08:57,27/04/2026,C,35236,19101,28,30,30,30,0,Adhesivo Carta
